BDMEP - INMET
--------------------
Estação           : SAO PAULO MIR de SANTANA  - SP (OMM: 83781)
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: 01/12/1945 a 01/01/2014
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <a href="http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html" target="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83781;31/01/1961;0000;26.570968;21.592903;18.448387;84.612903;
83781;28/02/1961;0000;26.867857;21.819286;18.775;83.080357;
83781;31/03/1961;0000;26.174194;20.600645;17.206452;83.008065;
83781;30/04/1961;0000;25.68;20.200667;16.583333;80.941667;
83781;31/05/1961;0000;22.525806;17.250968;13.716129;81.790323;
83781;30/06/1961;0000;22.573333;16.687333;12.82;80.766667;
83781;31/07/1961;0000;23.364516;16.26129;11.558065;74.282258;
83781;31/08/1961;0000;25.7;17.735484;12.332258;71.41129;
83781;30/09/1961;0000;28.293333;20.436;16.143333;74.416667;
83781;31/10/1961;0000;27.6;20.708387;16.606452;76.935484;
83781;30/11/1961;0000;28.196667;21.18;16.68;78.083333;
83781;31/12/1961;0000;27.177419;20.72129;17.083871;81.185484;
83781;31/01/1962;0000;26.658065;20.677419;16.977419;81.927419;
83781;28/02/1962;0000;27.907143;21.252143;17.303571;81.928571;
83781;31/03/1962;0000;28.103226;21.4;17.487097;81.83871;
83781;30/04/1962;0000;25.773333;18.894667;15.05;80.891667;
83781;31/05/1962;0000;22.803226;16.114194;12.158065;80.419355;
83781;30/06/1962;0000;21.073333;14.152;9.973333;78.15;
83781;31/07/1962;0000;20.577419;13.723871;9.219355;78.104839;
83781;31/08/1962;0000;23.764516;15.82;10.658065;71.83871;
83781;30/09/1962;0000;23.91;17.695333;13.903333;78.075;
83781;31/10/1962;0000;21.545161;17.16129;14.370968;83.556452;
83781;30/11/1962;0000;25.21;19.278;14.976667;76.716667;
83781;31/12/1962;0000;24.483871;19.985161;17.106452;87.024194;
83781;31/01/1963;0000;27.874194;22.487742;19.329032;81.072581;
83781;28/02/1963;0000;26.914286;21.305;17.764286;83.3125;
83781;31/03/1963;0000;28.729032;22.49871;18.870968;79.467742;
83781;30/04/1963;0000;26.086667;19.054667;14.576667;75.725;
83781;31/05/1963;0000;23.732258;16.411613;11.425806;74.725806;
83781;30/06/1963;0000;21.143333;14.871333;10.123333;74.458333;
83781;31/07/1963;0000;23.4;16.015484;10.841935;68.524194;
83781;31/08/1963;0000;24.748387;17.525161;12.367742;65.870968;
83781;30/09/1963;0000;28.306897;20.504667;15.456667;65.586207;
83781;31/10/1963;0000;25.867742;19.640645;15.964516;80.395161;
83781;30/11/1963;0000;27.546667;21.194667;17.026667;77.075;
83781;31/12/1963;0000;26.806452;20.597419;16.641935;75.08871;
83781;31/01/1964;0000;26.564516;20.950323;17.451613;78.983871;
83781;29/02/1964;0000;26.393103;21.246207;18.244828;84.896552;
83781;31/03/1964;0000;26.948387;20.982581;16.925806;74.564516;
83781;30/04/1964;0000;25.71;20.032;16.996667;81.558333;
83781;31/05/1964;0000;21.551613;16.339355;13.022581;82.064516;
83781;30/06/1964;0000;19.743333;14.745333;11.076667;80.966667;
83781;31/07/1964;0000;18.6;13.084516;9.596774;83.709677;
83781;31/08/1964;0000;23.080645;16.976129;12.770968;77.758065;
83781;30/09/1964;0000;25.16;17.986667;13.293333;75.725;
83781;31/10/1964;0000;22.516129;17.705806;14.648387;83.540323;
83781;30/11/1964;0000;23.45;18.158667;14.223333;77.491667;
83781;31/12/1964;0000;24.516129;19.642581;16.33871;83.532258;
83781;31/01/1965;0000;25.109677;20.123871;16.983871;86.056452;
83781;28/02/1965;0000;26.310714;21.391429;18.292857;82.330357;
83781;31/03/1965;0000;24.858065;19.78129;16.480645;81.58871;
83781;30/04/1965;0000;24.863333;19.574;16.076667;81.166667;
83781;31/05/1965;0000;22.196774;16.905161;13.125806;80.677419;
83781;30/06/1965;0000;22.49;17.198;13.73;82.783333;
83781;31/07/1965;0000;21.1;15.589677;11.751613;79.185484;
83781;31/08/1965;0000;24.519355;17.552903;12.293548;68.75;
83781;30/09/1965;0000;26.333333;19.499333;15.256667;74.725;
83781;31/10/1965;0000;24.396774;18.851613;15.377419;80.717742;
83781;30/11/1965;0000;25.783333;20.254;16.686667;81.416667;
83781;31/12/1965;0000;26.412903;21.985161;19;81.612903;
83781;31/01/1966;0000;27.635484;22.414194;18.829032;78.677419;
83781;28/02/1966;0000;29.307143;23.389286;19.732143;76.964286;
83781;31/03/1966;0000;26.577419;21.210968;17.629032;78.774194;
83781;30/04/1966;0000;24.68;19.452667;16.276667;81.525862;
83781;31/05/1966;0000;22.564516;17.32129;14.06129;81.766129;
83781;30/06/1966;0000;22.973333;17.059333;13.206667;72.775;
83781;31/07/1966;0000;23.041935;16.800645;12.667742;73.629032;
83781;31/08/1966;0000;22.177419;15.793548;12.070968;80.427419;
83781;30/09/1966;0000;23.163333;16.608;12.486667;79.616667;
83781;31/10/1966;0000;24.074194;18.483333;15.035484;82.708333;
83781;30/11/1966;0000;24.963333;19.462667;15.913333;82.133333;
83781;31/12/1966;0000;26.76129;21.396774;18.145161;82.354839;
83781;31/01/1967;0000;26.293548;21.202581;18.13871;85.137097;
83781;28/02/1967;0000;27.432143;22.079286;18.864286;82.580357;
83781;31/03/1967;0000;26.267742;20.867742;17.787097;84.66129;
83781;30/04/1967;0000;25.31;19.392667;15.863333;80.4;
83781;31/05/1967;0000;25.116129;18.130323;13.809677;77.370968;
83781;30/06/1967;0000;22.13;16.528667;12.55;77.883333;
83781;31/07/1967;0000;22.148387;16.025806;11.909677;76.298387;
83781;31/08/1967;0000;26.180645;18.623226;13.790323;69.217742;
83781;30/09/1967;0000;24.873333;18.342667;13.873333;75.716667;
83781;31/10/1967;0000;26.709677;20.638065;16.858065;76.959677;
83781;30/11/1967;0000;24.95;19.170667;15.89;83.491667;
83781;31/12/1967;0000;24.183871;19.223226;15.896774;81.798387;
83781;31/01/1968;0000;26.490323;21.05871;17.6;80.766129;
83781;29/02/1968;0000;26.217241;20.338621;16.582759;77.732143;
83781;31/03/1968;0000;26.896774;20.912903;17.316129;82.096774;
83781;30/04/1968;0000;22.893333;17.307333;13.85;77.3;
83781;31/05/1968;0000;21.509677;14.645161;10.022581;76.282258;
83781;30/06/1968;0000;21.13;14.946;11.21;79.666667;
83781;31/07/1968;0000;20.916129;14.537419;10.564516;77.709677;
83781;31/08/1968;0000;21.432258;14.870323;10.825806;78.314516;
83781;30/09/1968;0000;23.376667;16.724667;12.716667;75.158333;
83781;31/10/1968;0000;24.383871;18.549677;14.541935;77.935484;
83781;30/11/1968;0000;27.203333;20.698;16.42;72.641667;
