(saosilvestre)wilson@annie saosilvestre$ csvgrep -I';' -O',' -p '@header $0 eq /^Estacao;/;$2;$4;$5;$6;$7' Estação-83781.txt | head -n 20
Data,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia
31/01/1961,26.570968,21.592903,18.448387,84.612903
28/02/1961,26.867857,21.819286,18.775,83.080357
31/03/1961,26.174194,20.600645,17.206452,83.008065
30/04/1961,25.68,20.200667,16.583333,80.941667
31/05/1961,22.525806,17.250968,13.716129,81.790323
30/06/1961,22.573333,16.687333,12.82,80.766667
31/07/1961,23.364516,16.26129,11.558065,74.282258
31/08/1961,25.7,17.735484,12.332258,71.41129
30/09/1961,28.293333,20.436,16.143333,74.416667
31/10/1961,27.6,20.708387,16.606452,76.935484
30/11/1961,28.196667,21.18,16.68,78.083333
31/12/1961,27.177419,20.72129,17.083871,81.185484
31/01/1962,26.658065,20.677419,16.977419,81.927419
28/02/1962,27.907143,21.252143,17.303571,81.928571
31/03/1962,28.103226,21.4,17.487097,81.83871
30/04/1962,25.773333,18.894667,15.05,80.891667
31/05/1962,22.803226,16.114194,12.158065,80.419355
30/06/1962,21.073333,14.152,9.973333,78.15
31/07/1962,20.577419,13.723871,9.219355,78.104839
