nome,pais,corrida,ano,horario,tempo,percurso,largada,chegada
Edwin Kipsang,Quênia,89,2013,09:00:00,00:43:47.000,15000,"Av. Paulista, próximo à Rua Ministro Rocha Azevedo (sentido Consolação).","Av. Paulista, 900, em frente ao Edifício da Fundação Cásper Líbero."
Nancy Kipron,Quênia,89,2013,08:40:00,00:51:58.000,15000,"Av. Paulista, próximo à Rua Ministro Rocha Azevedo (sentido Consolação).","Av. Paulista, 900, em frente ao Edifício da Fundação Cásper Líbero."
Edwin Kipsang,Quênia,88,2012,09:00:00,00:44:05.000,15000,"Av. Paulista, próximo à Rua Frei Caneca.","Av. Paulista, 900, em frente ao Edifício da Fundação Cásper Líbero."
Maurine Kipchumba,Quênia,88,2012,08:40:00,00:51:42.000,15000,"Av. Paulista, próximo à Rua Frei Caneca.","Av. Paulista, 900, em frente ao Edifício da Fundação Cásper Líbero."
Tariku Bekele,Etiópia,87,2011,17:30:00,00:43:35.000,15000,"Av. Paulista, em frente ao MASP.","Avenida Pedro Álvares Cabral, no Ibirapuera."
Priscah Jeptoo,Quênia,87,2011,17:10:00,00:48:48.000,15000,"Av. Paulista, em frente ao MASP.","Avenida Pedro Álvares Cabral, no Ibirapuera."
Marilson Gomes dos Santos,Brasil,86,2010,16:55:00,00:44:07.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Alice Timbilili,Quênia,86,2010,15:15:00,00:50:19.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
James Kipsang,Quênia,85,2009,16:55:00,00:44:40.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Pasalia Kipkoech Chepkorir,Quênia,85,2009,16:45:00,00:52:30.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
James Kipsang,Quênia,84,2008,16:52:00,00:44:42.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Yimer Wude Ayalew,Etiópia,84,2008,16:45:00,00:51:37.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Robert Cheruiyot,Quênia,83,2007,17:00:00,00:45:54.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Alice Timbilili,Quênia,83,2007,15:15:00,00:51:37.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Franck Caldeira,Brasil,82,2006,17:00:00,00:44:06.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Lucélia Peres,Brasil,82,2006,15:15:00,00:51:23.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Marilson Gomes dos Santos,Brasil,81,2005,17:00:00,00:44:19.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Olivera Jevtic,Sérvia e Montenegro,81,2005,15:15:00,00:51:37.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Robert Cheruiyot,Quênia,80,2004,17:00:00,00:44:43.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Lydia Cheromei,Quênia,80,2004,15:15:00,00:52:58.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Marílson Gomes dos Santos,Brasil,79,2003,17:00:00,00:43:49.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Margaret Okayo,Quênia,79,2003,15:15:00,00:51:24.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Robert Cheruiyot,Quênia,78,2002,17:00:00,00:44:59.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Marizete de Paula Rezende,-,78,2002,15:15:00,00:54:02.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Tesfaye Jifar,Etiópia,77,2001,17:00:00,00:44:15.000,7300,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Maria Zeferina Baldaia,Brasil,77,2001,15:15:00,00:52:09.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Paul Tergat,Quênia,76,2000,17:00:00,00:43:57.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Lydia Cheromei,-,76,2000,15:15:00,00:50:33.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Paul Tergat,Quênia,75,1999,17:00:00,00:44:35.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Lydia Cheromei,Quênia,75,1999,15:15:00,00:51:29.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Paul Tergat,Quênia,74,1998,17:00:00,00:44:47.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Olivera Jevtic,Iugoslávia,74,1998,15:15:00,00:51:35.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Émerson Iser Bem,Brasil,73,1997,17:00:00,00:44:40.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Martha Thenório,Equador,73,1997,15:15:00,00:52:03.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Paul Tergat,Quênia,72,1996,17:00:00,00:43:50.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Roseli Machado,Brasil,72,1996,15:15:00,00:52:32.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Paul Tergat,Quênia,71,1995,17:00:00,00:43:12.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Carmen Oliveira,Brasil,71,1995,15:15:00,00:50:53.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Ronaldo Costa,Brasil,70,1994,17:00:00,00:44:11.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Derartu Tulu,Etiópia,70,1994,15:15:00,00:51:17.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Simon Chemwoyo,Quênia,69,1993,17:00:00,00:43:20.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
