Data,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia
31/12/1961,27.177419,20.72129,17.083871,81.185484
31/12/1962,24.483871,19.985161,17.106452,87.024194
31/12/1963,26.806452,20.597419,16.641935,75.08871
31/12/1964,24.516129,19.642581,16.33871,83.532258
31/12/1965,26.412903,21.985161,19,81.612903
31/12/1966,26.76129,21.396774,18.145161,82.354839
31/12/1967,24.183871,19.223226,15.896774,81.798387
31/12/1968,27.448387,21.985806,18.067742,75.556452
31/12/1969,25.045161,19.567097,15.848387,78.314516
31/12/1970,28.432258,22.354194,17.770968,78.370968
31/12/1971,26.287097,20.909032,16.787097,81.024194
31/12/1972,26.770968,21.616774,17.958065,81.282258
31/12/1973,26.277419,21.377419,18.045161,80.967742
31/12/1974,24.241935,20.139355,17.4,84.717742
31/12/1975,27.193548,22.029677,18.780645,83.169355
31/12/1976,26.222581,21.269032,17.877419,85.604839
31/12/1977,25.109677,20.083226,16.73871,82.782258
31/12/1978,26.16129,21.008387,16.912903,74.120968
31/12/1979,26.151613,21.618065,18.458065,82.403226
31/12/1980,,,,80.447917
31/12/1981,25.583871,21.108387,17.880645,74.080645
31/12/1982,24.487097,20.482581,17.916129,82.209677
31/12/1983,,,,78.419355
31/12/1984,25.754839,20.730968,17.406452,79.58871
31/12/1985,27.903226,21.632903,17.429032,71.927419
31/12/1986,26.325806,21.633548,18.458065,84.66129
31/12/1987,27.690323,22.238065,18.648387,75.024194
31/12/1988,27.174194,21.887097,18.387097,76
31/12/1989,26.493333,21.216129,17.709677,76.217742
31/12/1990,27.651613,21.816129,17.941935,75.137097
31/12/1991,27.829032,22.710323,19.135484,75.137097
31/12/1992,26.803226,21.017419,16.929032,72.822581
31/12/1993,27.145161,21.89871,17.506452,75.540323
31/12/1994,29.003226,23.331613,19.196774,74.451613
31/12/1995,27.112903,21.804516,18.070968,74.548387
31/12/1996,28.348387,22.86,19.019355,75.774194
31/12/1997,29.893548,23.949032,19.222581,69.612903
31/12/1998,29.619355,22.963871,18.541935,73.782258
31/12/1999,27.906452,22.283871,18.464516,71.096774
31/12/2000,28.245161,22.475484,18.422581,74.209677
31/12/2001,26.9,21.725806,18.203226,75.435484
31/12/2002,29.235484,23.252903,19.222581,70.201613
31/12/2003,28.351613,22.538065,18.874194,74.709677
31/12/2004,27.093548,21.490968,17.712903,77.008065
31/12/2005,26.877419,21.091613,17.183871,74.83871
31/12/2006,28.319355,22.661935,19.312903,77.120968
31/12/2007,28.703226,22.709677,18.677419,72.266129
31/12/2008,27.274194,21.251613,17.16129,76.08871
31/12/2009,28.312903,22.617419,19.209677,77.959677
31/12/2010,28.354839,22.912903,19.3,77.846774
31/12/2011,27.758065,22.199355,18.254839,69.854839
31/12/2012,30.151613,24.565333,20.748387,75.298387
31/12/2013,28.896774,23.28,19.425806,70.774194
